Title,Latitude,Longitude,PowerKW,charging_station_type,anno
nuova_colonnina,45.457645129904726,9.240610375273683,50,fast,2027
nuova_colonnina,45.45483492687713,9.247813432447012,50,fast,2027
nuova_colonnina,45.43276474642131,9.245269564613096,50,fast,2027
nuova_colonnina,45.43675612377894,9.171444264,150,ultrafast,2027
Grifo,45.430674900000454,9.177997199995936,50,fast,2027
Q8,45.43392800000238,9.191948700002557,50,fast,2027
Clinica Veterinaria Tibaldi,45.44337085801974,9.181935589116256,22,slow,2027
nuova_colonnina,45.41193838,9.207614380088364,22,slow,2027
nuova_colonnina,45.43777135071045,9.197189357,22,slow,2027
nuova_colonnina,45.40435572115731,9.169983432806502,22,slow,2027
nuova_colonnina,45.41482215,9.240876950003399,50,fast,2027
nuova_colonnina,45.44652334441734,9.177994607122073,50,fast,2027
nuova_colonnina,45.42321075513364,9.175457126,22,slow,2027
nuova_colonnina,45.442463199996645,9.192082750006307,50,fast,2027
nuova_colonnina,45.418337207671016,9.239463362,50,fast,2027
nuova_colonnina,45.435016599999884,9.201748599995224,50,fast,2027
"Casa Reclusione Milano-Opera ""I C.R.""",45.39699683172845,9.207056144989586,22,slow,2027
nuova_colonnina,45.40176637003587,9.173464764453072,50,fast,2027
nuova_colonnina,45.41872824157313,9.154818504590052,50,fast,2027
Agip,45.45670999999577,9.122361000004728,50,fast,2027
nuova_colonnina,45.46030200000298,9.1433714,50,fast,2027
Avenue Cafe,45.437123218867605,9.162032028119746,22,slow,2027
nuova_colonnina,45.44161524775137,9.158701233,50,fast,2027
nuova_colonnina,45.45544754,9.148138813831245,22,slow,2027
nuova_colonnina,45.44758577740427,9.142178512699138,50,fast,2027
nuova_colonnina,45.50286885709586,9.066686329863598,150,ultrafast,2027
Q8,45.45739900000091,9.094883,50,fast,2027
IP,45.470658400002684,9.151947899995026,50,fast,2027
Esso,45.46006479999822,9.112810400002155,50,fast,2027
Q8,45.495239999995576,9.113299000005151,50,fast,2027
IES,45.491892999999344,9.162253999997565,50,fast,2027
nuova_colonnina,45.5000746,9.104905933,22,slow,2027
nuova_colonnina,45.50298333,9.104686810366813,22,slow,2027
nuova_colonnina,45.49473821268006,9.112647674,22,slow,2027
nuova_colonnina,45.50199114676761,9.101445122533502,22,slow,2027
nuova_colonnina,45.49319481,9.112908787481373,22,slow,2027
nuova_colonnina,45.49012550858116,9.148564818056844,50,fast,2027
nuova_colonnina,45.48785683944897,9.162431675576512,22,slow,2027
nuova_colonnina,45.48558680861383,9.180256670922637,50,fast,2027
Esso,45.50601799999723,9.197790199994744,50,fast,2027
Esso,45.50475590000032,9.169081500005557,50,fast,2027
Esso,45.51653336775712,9.206950600716958,50,fast,2027
@pump,45.4973264,9.1798725,50,fast,2027
Esso,45.49646709999717,9.173092400003783,50,fast,2027
nuova_colonnina,45.50604720000285,9.194737599994376,22,slow,2027
nuova_colonnina,45.524436799998156,9.175713899998714,22,slow,2027
nuova_colonnina,45.50276440000341,9.189126200006221,22,slow,2027
Paninoteca,45.494142387207305,9.188330890170207,50,fast,2027
nuova_colonnina,45.482262030931274,9.18623135,22,slow,2027
nuova_colonnina,45.50256891368953,9.177208123931647,50,fast,2027
Duomo Parking,45.45925830000356,9.185549499997702,22,slow,2028
Parcheggio Nerino 6,45.46166089999834,9.183798700001764,22,slow,2028
nuova_colonnina,45.51460634925008,9.242935285648763,22,slow,2028
nuova_colonnina,45.49221072207628,9.199243946357063,50,fast,2028
nuova_colonnina,45.486485978010435,9.215285211196441,22,slow,2028
SelfService,45.49927968778907,9.231290172117147,50,fast,2028
nuova_colonnina,45.491679335060596,9.226336612,22,slow,2028
nuova_colonnina,45.49267351942571,9.229692825931243,22,slow,2028
nuova_colonnina,45.51628938378235,9.248548660486623,22,slow,2028
